trending word,related city
"Tyler Johnson
",Miami
"Cillian Murphy
",Cork
"Justin Herbert
",Oregon
"Shea Patterson
",Toledo
"Nick Gordon
",Florida
"Brady Breeze
",Oregon
"Corey Perry
",Ontario
"Trujillo Alto
",Puerto Rico
"PJ Fleck
",San Francisco
"Jonathan Taylor
",Bethlehem
"Najee Harris
",Martinez
"Don Brown
",Chapel Hill
"Space Needle
",Washington
"Mitchell Robinson
",Chalmette
"Tyler Johnson
",Miami
"Cillian Murphy
",Cork
"Justin Herbert
",Oregon
"Shea Patterson
",Toledo
"Nick Gordon
",Florida
"Brady Breeze
",Oregon
"Corey Perry
",Ontario
"Trujillo Alto
",Puerto Rico
"PJ Fleck
",San Francisco
"Jonathan Taylor
",Bethlehem
"Najee Harris
",Martinez
"Don Brown
",Chapel Hill
"Space Needle
",Washington
"Mitchell Robinson
",Chalmette
"Tyler Johnson
",Miami
"Cillian Murphy
",Cork
"Justin Herbert
",Oregon
"Shea Patterson
",Toledo
"Nick Gordon
",Florida
"Brady Breeze
",Oregon
"Corey Perry
",Ontario
"Trujillo Alto
",Puerto Rico
"PJ Fleck
",San Francisco
"Jonathan Taylor
",Bethlehem
"Najee Harris
",Martinez
"Don Brown
",Chapel Hill
"Space Needle
",Washington
"Mitchell Robinson
",Chalmette
"David Stern
",New York City
"Mac Jones
",Florida
"Don Larsen
",Chicago
"Strawberry Bubblegum
",North Hollywood
"Luis Robert
",Chicago
"Morgan Hill
",Santa Clara
"Isaac Asimov
",New York City
"Mark McGrath
",Newport Beach
"Ari Lennox
",Washington
"Sam Wyche
",Atlanta
"Happy Thanksgiving
",Liberia
"Richard Sherman
",Compton
"Dear Iran
",Florence
"Jacob Wohl
",Los Angeles
"Fort Bragg
",Fayetteville
"Free DaBaby
",March
"Bin Laden
",Abbottabad
"Grant Hill
",Virginia
"Deutsche Bank
",Karlsruhe
"Josh Hart
",Shrewsbury
"Nick Richards
",Jamaica
"Will Wade
",Clemson
"Derrick Henry
",Florida
"Bryce Young
",Pasadena
"Marvin Lewis
",Pittsburgh
"Terry Gilliam
",Alma
"Pennsylvania Turnpike
",Montgomery
"Sean Payton
",Chicago
"Jay White
",Auckland
"Iraqi Parliament
",Baghdad
"Happy Founders
",Hollywood
"Kirk Cousins
",Holland
"Taysom Hill
",Pocatello